Spain,ESP,Population growth (annual %),SP.POP.GROW,,1.595330499,0.885735981,0.460408305,0.355338396,0.064925963,-0.32766904,-0.298951059,-0.077588862,0.08443015,0.234587923,0.437982994,0.594469675,
Estonia,EST,Population growth (annual %),SP.POP.GROW,,-0.26813372,-0.192768077,-0.228057969,-0.303582824,-0.357944411,-0.355891803,-0.262256175,0.06555253,0.029112226,0.121070631,0.348039138,0.348339662,
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,,2.741022523,2.756851322,2.783770941,2.812610345,2.829617214,2.827018361,2.799921862,2.756127788,2.708106304,2.663467978,2.620013482,2.579563348,
European Union,EUU,Population growth (annual %),SP.POP.GROW,,0.321180272,0.236685885,0.139393783,-0.177888639,0.147240035,0.243214521,0.250230145,0.21802229,0.212345575,0.144458525,0.144890089,0.164369897,
Fragile and conflict affected situations,FCS,Population growth (annual %),SP.POP.GROW,,2.497166827,2.48718639,2.480934751,2.481314973,2.476714646,2.451653697,2.400764808,2.337713321,2.269866254,2.218654078,2.211901333,2.264148581,
Finland,FIN,Population growth (annual %),SP.POP.GROW,,0.465549285,0.478246393,0.457494535,0.463558707,0.475809487,0.460723773,0.413560208,0.329383886,0.287421402,0.234670532,0.132641041,0.086789963,
Fiji,FJI,Population growth (annual %),SP.POP.GROW,,1.090789507,0.974228982,0.721469407,0.421409494,0.187443865,0.062287766,0.097571629,0.250593764,0.433308394,0.578334254,0.684181932,0.729660242,
France,FRA,Population growth (annual %),SP.POP.GROW,,0.558854359,0.514489504,0.494035951,0.483658695,0.48400512,0.514784474,0.473703877,0.35556924,0.263868789,0.210010696,0.151733989,0.140234218,
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,,-0.01045533,-0.025097252,0.012549413,0.018821168,0.041812139,0.102365915,0.14188543,0.189561669,0.253575128,0.32744786,0.342876364,0.372524228,
"Micronesia, Fed. Sts.",FSM,Population growth (annual %),SP.POP.GROW,,-0.866405724,-0.550074504,-0.062170329,0.522386716,1.015608183,1.349625109,1.424765867,1.339571942,1.204888841,1.122380666,1.054008214,1.037743079,
